raw_locator,set_code,collector_number,limitless_card_url,in_top10_raw_union,in_top50_raw_union,minimum_archetype_rank,archetype_count,archetypes,archetype_ranks,archetype_quantities,anki_tags,resolution_status,resolved_name,mechanical_fingerprint,mechanical_card_key,mechanical_group_id
ASC-142,ASC,142,https://limitlesstcg.com/cards/ASC/142,True,True,1,27,Dragapult | Ogerpon Meganium | Alakazam | N's Zoroark | Raging Bolt | Slowking | Mega Greninja | Basic Box | Beedrill | Ethan's Typhlosion | Greninja | Lillie's Clefairy | Metagross | Archaludon | Mega Diancie | Mega Venusaur | Tera Box | Mega Absol Box | Flareon | Doublade | Toxtricity | Bloodmoon Ursaluna | Mega Manectric | Decidueye | Joltik Box | Hydreigon | Mega Charizard X,1 | 2 | 3 | 4 | 5 | 6 | 8 | 9 | 12 | 19 | 20 | 21 | 22 | 25 | 27 | 30 | 31 | 32 | 33 | 34 | 35 | 37 | 38 | 41 | 45 | 49 | 50,Dragapult:1 | Ogerpon Meganium:1 | Alakazam:1 | N's Zoroark:1 | Raging Bolt:1 | Slowking:1 | Mega Greninja:1 | Basic Box:1 | Beedrill:1 | Ethan's Typhlosion:1 | Greninja:1 | Lillie's Clefairy:2 | Metagross:1 | Archaludon:1 | Mega Diancie:1 | Mega Venusaur:1 | Tera Box:1 | Mega Absol Box:1 | Flareon:1 | Doublade:1 | Toxtricity:1 | Bloodmoon Ursaluna:1 | Mega Manectric:1 | Decidueye:1 | Joltik Box:1 | Hydreigon:1 | Mega Charizard X:1,ptcg::archetype::dragapult ptcg::archetype::ogerpon_meganium ptcg::archetype::alakazam ptcg::archetype::n_s_zoroark ptcg::archetype::raging_bolt ptcg::archetype::slowking ptcg::archetype::mega_greninja ptcg::archetype::basic_box ptcg::archetype::beedrill ptcg::archetype::ethan_s_typhlosion ptcg::archetype::greninja ptcg::archetype::lillie_s_clefairy ptcg::archetype::metagross ptcg::archetype::archaludon ptcg::archetype::mega_diancie ptcg::archetype::mega_venusaur ptcg::archetype::tera_box ptcg::archetype::mega_absol_box ptcg::archetype::flareon ptcg::archetype::doublade ptcg::archetype::toxtricity ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::mega_manectric ptcg::archetype::decidueye ptcg::archetype::joltik_box ptcg::archetype::hydreigon ptcg::archetype::mega_charizard_x ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
ASC-158,ASC,158,https://limitlesstcg.com/cards/ASC/158,True,True,1,3,Dragapult | Ethan's Typhlosion | Doublade,1 | 19 | 34,Dragapult:4 | Ethan's Typhlosion:2 | Doublade:4,ptcg::archetype::dragapult ptcg::archetype::ethan_s_typhlosion ptcg::archetype::doublade ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
ASC-159,ASC,159,https://limitlesstcg.com/cards/ASC/159,True,True,1,3,Dragapult | Ethan's Typhlosion | Doublade,1 | 19 | 34,Dragapult:4 | Ethan's Typhlosion:2 | Doublade:4,ptcg::archetype::dragapult ptcg::archetype::ethan_s_typhlosion ptcg::archetype::doublade ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
ASC-16,ASC,16,https://limitlesstcg.com/cards/ASC/16,True,True,1,8,Dragapult | N's Zoroark | Mega Greninja | Mega Starmie | Greninja | Marnie's Grimmsnarl | Decidueye | Mega Froslass,1 | 4 | 8 | 15 | 20 | 24 | 41 | 42,Dragapult:1 | N's Zoroark:1 | Mega Greninja:1 | Mega Starmie:1 | Greninja:1 | Marnie's Grimmsnarl:1 | Decidueye:1 | Mega Froslass:1,ptcg::archetype::dragapult ptcg::archetype::n_s_zoroark ptcg::archetype::mega_greninja ptcg::archetype::mega_starmie ptcg::archetype::greninja ptcg::archetype::marnie_s_grimmsnarl ptcg::archetype::decidueye ptcg::archetype::mega_froslass ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
ASC-160,ASC,160,https://limitlesstcg.com/cards/ASC/160,True,True,1,1,Dragapult,1,Dragapult:2,ptcg::archetype::dragapult ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
ASC-184,ASC,184,https://limitlesstcg.com/cards/ASC/184,True,True,1,29,Dragapult | Alakazam | N's Zoroark | Mega Lucario | Mega Greninja | Crustle | Beedrill | Festival Lead | Mega Starmie | Mega Lopunny | Cynthia's Garchomp | Ethan's Typhlosion | Greninja | Metagross | Marnie's Grimmsnarl | Archaludon | Steven's Metagross | Flareon | Doublade | Toxtricity | Eelektrik | Mega Manectric | Mega Sharpedo | Decidueye | Mega Froslass | Palafin | Sylveon | Froslass Munkidori | Hydreigon,1 | 3 | 4 | 7 | 8 | 11 | 12 | 13 | 15 | 16 | 17 | 19 | 20 | 22 | 24 | 25 | 26 | 33 | 34 | 35 | 36 | 38 | 39 | 41 | 42 | 46 | 47 | 48 | 49,Dragapult:4 | Alakazam:4 | N's Zoroark:4 | Mega Lucario:2 | Mega Greninja:4 | Crustle:2 | Beedrill:4 | Festival Lead:4 | Mega Starmie:4 | Mega Lopunny:4 | Cynthia's Garchomp:3 | Ethan's Typhlosion:2 | Greninja:4 | Metagross:1 | Marnie's Grimmsnarl:3 | Archaludon:2 | Steven's Metagross:3 | Flareon:2 | Doublade:4 | Toxtricity:1 | Eelektrik:2 | Mega Manectric:4 | Mega Sharpedo:3 | Decidueye:4 | Mega Froslass:3 | Palafin:4 | Sylveon:1 | Froslass Munkidori:4 | Hydreigon:4,ptcg::archetype::dragapult ptcg::archetype::alakazam ptcg::archetype::n_s_zoroark ptcg::archetype::mega_lucario ptcg::archetype::mega_greninja ptcg::archetype::crustle ptcg::archetype::beedrill ptcg::archetype::festival_lead ptcg::archetype::mega_starmie ptcg::archetype::mega_lopunny ptcg::archetype::cynthia_s_garchomp ptcg::archetype::ethan_s_typhlosion ptcg::archetype::greninja ptcg::archetype::metagross ptcg::archetype::marnie_s_grimmsnarl ptcg::archetype::archaludon ptcg::archetype::steven_s_metagross ptcg::archetype::flareon ptcg::archetype::doublade ptcg::archetype::toxtricity ptcg::archetype::eelektrik ptcg::archetype::mega_manectric ptcg::archetype::mega_sharpedo ptcg::archetype::decidueye ptcg::archetype::mega_froslass ptcg::archetype::palafin ptcg::archetype::sylveon ptcg::archetype::froslass_munkidori ptcg::archetype::hydreigon ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
ASC-196,ASC,196,https://limitlesstcg.com/cards/ASC/196,True,True,1,44,Dragapult | Ogerpon Meganium | Alakazam | N's Zoroark | Raging Bolt | Slowking | Mega Greninja | Basic Box | Rocket's Honchkrow | Beedrill | Festival Lead | Rocket's Mewtwo | Mega Starmie | Mega Lopunny | Cynthia's Garchomp | Hop's Trevenant | Ethan's Typhlosion | Greninja | Metagross | Ceruledge | Marnie's Grimmsnarl | Archaludon | Steven's Metagross | Mega Diancie | Kangaskhan Bouffalant | Okidogi | Mega Venusaur | Tera Box | Mega Absol Box | Flareon | Doublade | Toxtricity | Eelektrik | Bloodmoon Ursaluna | Mega Sharpedo | Rocket's Spidops | Decidueye | Mega Froslass | Bronzong | Joltik Box | Palafin | Sylveon | Froslass Munkidori | Mega Charizard X,1 | 2 | 3 | 4 | 5 | 6 | 8 | 9 | 10 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 39 | 40 | 41 | 42 | 44 | 45 | 46 | 47 | 48 | 50,Dragapult:2 | Ogerpon Meganium:1 | Alakazam:1 | N's Zoroark:2 | Raging Bolt:2 | Slowking:2 | Mega Greninja:1 | Basic Box:2 | Rocket's Honchkrow:3 | Beedrill:1 | Festival Lead:2 | Rocket's Mewtwo:3 | Mega Starmie:1 | Mega Lopunny:1 | Cynthia's Garchomp:2 | Hop's Trevenant:3 | Ethan's Typhlosion:2 | Greninja:1 | Metagross:2 | Ceruledge:3 | Marnie's Grimmsnarl:3 | Archaludon:4 | Steven's Metagross:2 | Mega Diancie:2 | Kangaskhan Bouffalant:2 | Okidogi:2 | Mega Venusaur:2 | Tera Box:2 | Mega Absol Box:3 | Flareon:2 | Doublade:2 | Toxtricity:3 | Eelektrik:2 | Bloodmoon Ursaluna:4 | Mega Sharpedo:2 | Rocket's Spidops:1 | Decidueye:2 | Mega Froslass:2 | Bronzong:2 | Joltik Box:2 | Palafin:1 | Sylveon:2 | Froslass Munkidori:4 | Mega Charizard X:1,ptcg::archetype::dragapult ptcg::archetype::ogerpon_meganium ptcg::archetype::alakazam ptcg::archetype::n_s_zoroark ptcg::archetype::raging_bolt ptcg::archetype::slowking ptcg::archetype::mega_greninja ptcg::archetype::basic_box ptcg::archetype::rocket_s_honchkrow ptcg::archetype::beedrill ptcg::archetype::festival_lead ptcg::archetype::rocket_s_mewtwo ptcg::archetype::mega_starmie ptcg::archetype::mega_lopunny ptcg::archetype::cynthia_s_garchomp ptcg::archetype::hop_s_trevenant ptcg::archetype::ethan_s_typhlosion ptcg::archetype::greninja ptcg::archetype::metagross ptcg::archetype::ceruledge ptcg::archetype::marnie_s_grimmsnarl ptcg::archetype::archaludon ptcg::archetype::steven_s_metagross ptcg::archetype::mega_diancie ptcg::archetype::kangaskhan_bouffalant ptcg::archetype::okidogi ptcg::archetype::mega_venusaur ptcg::archetype::tera_box ptcg::archetype::mega_absol_box ptcg::archetype::flareon ptcg::archetype::doublade ptcg::archetype::toxtricity ptcg::archetype::eelektrik ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::mega_sharpedo ptcg::archetype::rocket_s_spidops ptcg::archetype::decidueye ptcg::archetype::mega_froslass ptcg::archetype::bronzong ptcg::archetype::joltik_box ptcg::archetype::palafin ptcg::archetype::sylveon ptcg::archetype::froslass_munkidori ptcg::archetype::mega_charizard_x ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
ASC-210,ASC,210,https://limitlesstcg.com/cards/ASC/210,True,True,1,9,Dragapult | Cynthia's Garchomp | Steven's Metagross | Mega Absol Box | Toxtricity | Eelektrik | Mega Sharpedo | Bronzong | Mega Charizard X,1 | 17 | 26 | 32 | 35 | 36 | 39 | 44 | 50,Dragapult:1 | Cynthia's Garchomp:1 | Steven's Metagross:1 | Mega Absol Box:1 | Toxtricity:1 | Eelektrik:1 | Mega Sharpedo:2 | Bronzong:1 | Mega Charizard X:1,ptcg::archetype::dragapult ptcg::archetype::cynthia_s_garchomp ptcg::archetype::steven_s_metagross ptcg::archetype::mega_absol_box ptcg::archetype::toxtricity ptcg::archetype::eelektrik ptcg::archetype::mega_sharpedo ptcg::archetype::bronzong ptcg::archetype::mega_charizard_x ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
ASC-99,ASC,99,https://limitlesstcg.com/cards/ASC/99,True,True,1,15,Dragapult | N's Zoroark | Basic Box | Mega Starmie | Marnie's Grimmsnarl | Kangaskhan Bouffalant | Mega Absol Box | Toxtricity | Bloodmoon Ursaluna | Mega Sharpedo | Mega Froslass | Bronzong | Palafin | Sylveon | Froslass Munkidori,1 | 4 | 9 | 15 | 24 | 28 | 32 | 35 | 37 | 39 | 42 | 44 | 46 | 47 | 48,Dragapult:1 | N's Zoroark:1 | Basic Box:2 | Mega Starmie:3 | Marnie's Grimmsnarl:4 | Kangaskhan Bouffalant:2 | Mega Absol Box:3 | Toxtricity:3 | Bloodmoon Ursaluna:3 | Mega Sharpedo:2 | Mega Froslass:3 | Bronzong:3 | Palafin:1 | Sylveon:1 | Froslass Munkidori:4,ptcg::archetype::dragapult ptcg::archetype::n_s_zoroark ptcg::archetype::basic_box ptcg::archetype::mega_starmie ptcg::archetype::marnie_s_grimmsnarl ptcg::archetype::kangaskhan_bouffalant ptcg::archetype::mega_absol_box ptcg::archetype::toxtricity ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::mega_sharpedo ptcg::archetype::mega_froslass ptcg::archetype::bronzong ptcg::archetype::palafin ptcg::archetype::sylveon ptcg::archetype::froslass_munkidori ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
CRI-82,CRI,82,https://limitlesstcg.com/cards/CRI/82,True,True,1,23,Dragapult | Ogerpon Meganium | N's Zoroark | Mega Lucario | Mega Greninja | Basic Box | Beedrill | Greninja | Metagross | Marnie's Grimmsnarl | Archaludon | Mega Diancie | Kangaskhan Bouffalant | Okidogi | Tera Box | Mega Absol Box | Flareon | Toxtricity | Eelektrik | Bloodmoon Ursaluna | Joltik Box | Palafin | Mega Charizard X,1 | 2 | 4 | 7 | 8 | 9 | 12 | 20 | 22 | 24 | 25 | 27 | 28 | 29 | 31 | 32 | 33 | 35 | 36 | 37 | 45 | 46 | 50,Dragapult:1 | Ogerpon Meganium:1 | N's Zoroark:1 | Mega Lucario:1 | Mega Greninja:1 | Basic Box:1 | Beedrill:1 | Greninja:1 | Metagross:1 | Marnie's Grimmsnarl:1 | Archaludon:1 | Mega Diancie:1 | Kangaskhan Bouffalant:1 | Okidogi:1 | Tera Box:1 | Mega Absol Box:2 | Flareon:1 | Toxtricity:1 | Eelektrik:1 | Bloodmoon Ursaluna:1 | Joltik Box:1 | Palafin:1 | Mega Charizard X:1,ptcg::archetype::dragapult ptcg::archetype::ogerpon_meganium ptcg::archetype::n_s_zoroark ptcg::archetype::mega_lucario ptcg::archetype::mega_greninja ptcg::archetype::basic_box ptcg::archetype::beedrill ptcg::archetype::greninja ptcg::archetype::metagross ptcg::archetype::marnie_s_grimmsnarl ptcg::archetype::archaludon ptcg::archetype::mega_diancie ptcg::archetype::kangaskhan_bouffalant ptcg::archetype::okidogi ptcg::archetype::tera_box ptcg::archetype::mega_absol_box ptcg::archetype::flareon ptcg::archetype::toxtricity ptcg::archetype::eelektrik ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::joltik_box ptcg::archetype::palafin ptcg::archetype::mega_charizard_x ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
